Node,U2,Normal Stress,Von-Mises Stress
1.736000061,-0.027276818,-14650732,14651094
1.737998962,-0.027326176,-14537432,14537796
1.740001678,-0.027375642,-14424114,14424480
1.74200058,-0.027425025,-14310885,14311254
1.743999481,-0.02747442,-14197745,14198117
1.745998383,-0.027523827,-14084586,14084961
1.748001099,-0.02757334,-13971410,13971787
1.75,-0.027622771,-13858322,13858702
1.751998901,-0.027672213,-13745270,13745652
1.754001617,-0.027721761,-13632199,13632584
1.756000519,-0.027771225,-13519218,13519605
1.75799942,-0.027820701,-13406324,13406715
1.759998322,-0.027870189,-13293413,13293806
1.762001038,-0.02791978,-13180484,13180880
1.763999939,-0.02796929,-13067644,13068043
1.76599884,-0.02801881,-12954836,12955239
1.768001556,-0.028068438,-12842010,12842416
1.770000458,-0.028117979,-12729275,12729684
1.771999359,-0.028167533,-12616629,12617040
1.77399826,-0.028217094,-12503965,12504380
1.776000977,-0.028266761,-12391283,12391700
1.777999878,-0.028316345,-12278690,12279110
1.779998779,-0.02836594,-12166132,12166556
1.782001495,-0.028415637,-12053556,12053983
1.784000397,-0.028465251,-11941068,11941500
1.785999298,-0.028514875,-11828670,11829104
1.787998199,-0.028564509,-11716252,11716690
1.790000916,-0.028614247,-11603818,11604260
1.791999817,-0.0286639,-11491472,11491918
1.793998718,-0.028713562,-11379161,11379610
1.796001434,-0.02876333,-11266832,11267285
1.798000336,-0.02881301,-11154592,11155050
1.799999237,-0.028862702,-11042441,11042902
1.801998138,-0.028912401,-10930270,10930735
1.804000854,-0.028962208,-10818079,10818549
1.805999756,-0.029011926,-10705979,10706453
1.807998657,-0.029061653,-10593915,10594394
1.810001373,-0.029111482,-10481834,10482316
1.812000275,-0.029161228,-10369841,10370328
1.813999176,-0.029210981,-10257883,10258375
1.816001892,-0.029260837,-10145908,10146404
1.818000793,-0.029310606,-10034021,10034522
1.819999695,-0.029360386,-9922222,9922729
1.821998596,-0.029410172,-9810406,9810917
1.824001312,-0.029460061,-9698571,9699088
1.826000214,-0.029509865,-9586826,9587348
1.827999115,-0.029559676,-9475115,9475642
1.830001831,-0.029609589,-9363387,9363920
1.832000732,-0.029659417,-9251748,9252286
1.833999634,-0.02970925,-9140196,9140740
